Date,ID,Chamber.Channel,Run,Species,Temp.Cat,Start.time,Stop.Time,Ambient_Nutrient,Light_Dark,Organism.ID,Dry.weight,Blank,Volume
6/11/22,U1_AD_16C,1,1,Ulv,16,10:08:00,10:21:38,Ambient,Dark,U1_AD,0.207,0,651
6/11/22,U1_AD_20C,1,1,Ulv,20,11:10:36,11:20:24,Ambient,Dark,U1_AD,0.207,0,651
6/11/22,U1_AD_22C,1,1,Ulv,22,11:36:16,11:46:26,Ambient,Dark,U1_AD,0.207,0,651
6/11/22,U1_AD_24C,1,1,Ulv,24,12:06:03,12:17:32,Ambient,Dark,U1_AD,0.207,0,651
6/11/22,U1_AD_26C,1,1,Ulv,26,12:29:12,12:44:08,Ambient,Dark,U1_AD,0.207,0,651
6/11/22,U1_AD_28C,1,1,Ulv,28,13:06:34,13:19:52,Ambient,Dark,U1_AD,0.207,0,651
6/11/22,U1_AD_30C,1,1,Ulv,30,13:41:21,13:55:50,Ambient,Dark,U1_AD,0.207,0,651
6/11/22,U1_AD_32C,1,1,Ulv,32,14:19:40,14:33:05,Ambient,Dark,U1_AD,0.207,0,651
6/11/22,U1_AD_34C,1,1,Ulv,34,14:48:40,15:03:15,Ambient,Dark,U1_AD,0.207,0,651
6/11/22,U1_AD_36C,1,1,Ulv,36,15:21:04,15:30:30,Ambient,Dark,U1_AD,0.207,0,651
6/11/22,U1_AD_39C,1,1,Ulv,39,15:59:36,16:12:23,Ambient,Dark,U1_AD,0.207,0,651
6/11/22,U1_AD_42C,1,1,Ulv,42,16:56:01,17:03:45,Ambient,Dark,U1_AD,0.207,0,651
6/11/22,U2_AD_16C,2,1,Ulv,16,10:10:10,10:21:38,Ambient,Dark,U2_AD,0.172,0,633
6/11/22,U2_AD_20C,2,1,Ulv,20,11:09:35,11:20:27,Ambient,Dark,U2_AD,0.172,0,633
6/11/22,U2_AD_22C,2,1,Ulv,22,11:34:42,11:46:29,Ambient,Dark,U2_AD,0.172,0,633
6/11/22,U2_AD_24C,2,1,Ulv,24,12:04:10,12:17:36,Ambient,Dark,U2_AD,0.172,0,633
6/11/22,U2_AD_26C,2,1,Ulv,26,12:29:03,12:44:12,Ambient,Dark,U2_AD,0.172,0,633
6/11/22,U2_AD_28C,2,1,Ulv,28,13:06:49,13:19:56,Ambient,Dark,U2_AD,0.172,0,633
6/11/22,U2_AD_30C,2,1,Ulv,30,13:41:24,13:55:54,Ambient,Dark,U2_AD,0.172,0,633
6/11/22,U2_AD_32C,2,1,Ulv,32,14:19:42,14:33:08,Ambient,Dark,U2_AD,0.172,0,633
6/11/22,U2_AD_34C,2,1,Ulv,34,14:53:49,15:03:17,Ambient,Dark,U2_AD,0.172,0,633
6/11/22,U2_AD_36C,2,1,Ulv,36,15:22:15,15:30:33,Ambient,Dark,U2_AD,0.172,0,633
6/11/22,U2_AD_39C,2,1,Ulv,39,15:59:39,16:12:25,Ambient,Dark,U2_AD,0.172,0,633
6/11/22,U2_AD_42C,2,1,Ulv,42,16:56:34,17:03:48,Ambient,Dark,U2_AD,0.172,0,633
6/11/22,U3_AD_16C,3,1,Ulv,16,10:08:06,10:21:38,Ambient,Dark,U3_AD,0.241,0,627
6/11/22,U3_AD_20C,3,1,Ulv,20,11:10:14,11:20:29,Ambient,Dark,U3_AD,0.241,0,627
6/11/22,U3_AD_22C,3,1,Ulv,22,11:35:32,11:46:32,Ambient,Dark,U3_AD,0.241,0,627
6/11/22,U3_AD_24C,3,1,Ulv,24,12:04:15,12:17:39,Ambient,Dark,U3_AD,0.241,0,627
6/11/22,U3_AD_26C,3,1,Ulv,26,12:28:57,12:44:14,Ambient,Dark,U3_AD,0.241,0,627
6/11/22,U3_AD_28C,3,1,Ulv,28,13:06:53,13:20:01,Ambient,Dark,U3_AD,0.241,0,627
6/11/22,U3_AD_30C,3,1,Ulv,30,13:41:29,13:55:56,Ambient,Dark,U3_AD,0.241,0,627
6/11/22,U3_AD_32C,3,1,Ulv,32,14:19:45,14:33:11,Ambient,Dark,U3_AD,0.241,0,627
6/11/22,U3_AD_34C,3,1,Ulv,34,14:50:19,15:03:20,Ambient,Dark,U3_AD,0.241,0,627
6/11/22,U3_AD_36C,3,1,Ulv,36,15:21:03,15:30:35,Ambient,Dark,U3_AD,0.241,0,627
6/11/22,U3_AD_39C,3,1,Ulv,39,15:59:41,16:12:27,Ambient,Dark,U3_AD,0.241,0,627
6/11/22,U3_AD_42C,3,1,Ulv,42,16:54:39,17:03:50,Ambient,Dark,U3_AD,0.241,0,627
6/11/22,U4Blank_AD_16C,4,1,Ulv,16,10:08:15,10:21:38,Ambient,Dark,U4_AD,0,1,680
